# Constructed from biom file
#OTU ID	neg.ctrl.1.1	neg.ctrl.2.2	neg.ctrl.3.3	neg.ctrl.4.4	neg.ctrl.5.1	neg.ctrl.6.2	neg.ctrl.7.3	neg.ctrl.8.4	neg.ctrl.isol.5.ACTA121	neg.ctrl.isol.6.ACTA121	neg.ctrl.isol.7.ACTA121	neg.ctrl.isol.8.ACTA121	neg.ctrl.pcr.5.ACTA121	neg.ctrl.pcr.6.ACTA121	neg.ctrl.pcr.7.ACTA121	neg.ctrl.pcr.8.ACTA121	TP.01.V1	TP.01.V2	TP.01.V3	TP.01.V4	TP.02.V1	TP.02.V4	TP.03.V1	TP.03.V2	TP.04.V1	TP.04.V2	TP.04.V3	TP.04.V4	TP.05.V1	TP.05.V2	TP.05.V3	TP.05.V4	TP.06.V1	TP.06.V2	TP.06.V3	TP.06.V4	TP.07.V1	TP.07.V2	TP.07.V3	TP.07.V4	TP.08.V1	TP.08.V2	TP.08.V3	TP.08.V4	TP.09.V1	TP.09.V2	TP.09.V3	TP.09.V4	TP.10.V1	TP.10.V2	TP.10.V3	TP.10.V4	TP.11.V1	TP.11.V2	TP.11.V3	TP.11.V4	TP.12.V1	TP.12.V2	TP.12.V3	TP.12.V4	TP.13.V1	TP.13.V2	TP.13.V4	TP.14.V1	TP.14.V2	TP.14.V3	TP.14.V4	TP.15.V1	TP.15.V2	TP.15.V3	TP.15.V4	TP.16.V1	TP.16.V2	TP.16.V3	TP.16.V4	TP.18.V1	TP.18.V2	TP.18.V3	TP.18.V4	TP.19.V1	TP.19.V2	TP.19.V3	TP.19.V4	TP.20.V1	TP.20.V2	TP.20.V3	TP.20.V4	TP.21.V1	TP.21.V2	TP.21.V3	TP.21.V4	TP.22.V1	TP.22.V2	TP.22.V3	TP.22.V4	TP.23.V1	TP.23.V2	TP.23.V4	TP.24.V1	TP.24.V2	TP.24.V3	TP.24.V4	TP.25.V1	TP.25.V2	TP.25.V3	TP.25.V4	TP.26.V1	TP.26.V2	TP.26.V3	TP.26.V4	TP.27.V1	TP.27.V2	TP.27.V3	TP.27.V4	TP.28.V1	TP.28.V2	TP.28.V3	TP.28.V4b	TP.29.V1	TP.29.V2	TP.29.V4	TP.30.V1	TP.30.V2	TP.30.V4	TP.31.V1	TP.31.V2	TP.31.V3	TP.31.V4	TP.32.V1	TP.32.V2	TP.32.V3	TP.32.V4	TP.33.V1	TP.33.V2	TP.33.V3	TP.33.V4	TP.34.V1	TP.34.V2	TP.34.V3	TP.34.V4	TP.35.V1	TP.35.V2	TP.35.V3	TP.35.V4	TP.36.V1	TP.36.V2	TP.36.V3	TP.36.V4	TP.37.V1	TP.37.V2	TP.38.V1	TP.38.V2	TP.38.V3	TP.38.V4	TP.39.V1	TP.39.V2	TP.39.V3	TP.39.V4	TP.40.V1	TP.40.V2	TP.40.V3	TP.40.V4	taxonomy
Zotu4	0.0	3.0	0.0	1.0	5.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1955.0	130.0	44.0	1161.0	107.0	1229.0	65.0	1043.0	53.0	759.0	284.0	201.0	3500.0	3746.0	3526.0	2490.0	531.0	126.0	6.0	35.0	610.0	1305.0	1133.0	503.0	274.0	948.0	1.0	910.0	289.0	120.0	5.0	392.0	483.0	229.0	723.0	59.0	366.0	14.0	528.0	469.0	2196.0	1211.0	1710.0	1634.0	66.0	170.0	29.0	3.0	7.0	16.0	18.0	1.0	361.0	71.0	20.0	1548.0	1819.0	1610.0	1314.0	37.0	3644.0	4026.0	1420.0	268.0	0.0	1222.0	952.0	2209.0	2258.0	2743.0	2196.0	4227.0	228.0	993.0	1823.0	1262.0	1031.0	1738.0	809.0	802.0	778.0	1961.0	1865.0	323.0	170.0	829.0	1127.0	202.0	3049.0	1789.0	2344.0	2355.0	1388.0	1126.0	2065.0	2656.0	2979.0	4989.0	304.0	1329.0	680.0	760.0	797.0	974.0	1504.0	36.0	165.0	2134.0	152.0	1738.0	121.0	293.0	3547.0	2129.0	2061.0	334.0	292.0	900.0	447.0	34.0	1316.0	1430.0	3372.0	1598.0	1529.0	171.0	1168.0	1419.0	52.0	9.0	12.0	25.0	300.0	195.0	939.0	382.0	74.0	746.0	838.0	279.0	770.0	155.0	1.0	3.0	88.0	100.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; (s__flavescens/s__subflava)
Zotu18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	303.0	298.0	185.0	80.0	133.0	182.0	222.0	348.0	139.0	104.0	159.0	148.0	67.0	68.0	68.0	46.0	109.0	10.0	42.0	236.0	134.0	30.0	97.0	59.0	157.0	0.0	232.0	74.0	217.0	25.0	190.0	79.0	48.0	73.0	79.0	162.0	94.0	153.0	198.0	329.0	45.0	111.0	197.0	83.0	274.0	381.0	94.0	76.0	236.0	108.0	714.0	138.0	62.0	85.0	164.0	77.0	160.0	112.0	251.0	266.0	277.0	161.0	96.0	0.0	296.0	182.0	78.0	65.0	160.0	101.0	55.0	73.0	56.0	142.0	84.0	243.0	294.0	198.0	33.0	119.0	115.0	61.0	85.0	196.0	326.0	221.0	38.0	290.0	111.0	50.0	163.0	200.0	187.0	31.0	197.0	180.0	170.0	218.0	159.0	292.0	148.0	198.0	191.0	242.0	98.0	158.0	89.0	273.0	110.0	104.0	100.0	528.0	181.0	267.0	220.0	97.0	244.0	358.0	83.0	139.0	226.0	112.0	195.0	180.0	96.0	228.0	76.0	102.0	122.0	63.0	192.0	295.0	362.0	86.0	115.0	59.0	82.0	549.0	168.0	185.0	131.0	355.0	202.0	466.0	202.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__adiacens
Zotu20	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	104.0	619.0	134.0	85.0	87.0	83.0	65.0	89.0	114.0	76.0	199.0	78.0	126.0	94.0	55.0	62.0	64.0	98.0	11.0	22.0	190.0	106.0	26.0	83.0	87.0	286.0	0.0	372.0	53.0	196.0	9.0	109.0	136.0	102.0	60.0	110.0	88.0	26.0	243.0	135.0	50.0	13.0	32.0	47.0	100.0	211.0	295.0	44.0	12.0	156.0	20.0	181.0	35.0	23.0	12.0	313.0	309.0	605.0	145.0	30.0	82.0	151.0	32.0	114.0	0.0	130.0	116.0	142.0	123.0	249.0	79.0	153.0	112.0	40.0	113.0	203.0	129.0	189.0	159.0	21.0	78.0	57.0	112.0	104.0	150.0	223.0	58.0	34.0	112.0	50.0	62.0	98.0	127.0	85.0	37.0	118.0	66.0	87.0	83.0	116.0	146.0	68.0	56.0	115.0	59.0	31.0	75.0	83.0	126.0	113.0	183.0	152.0	457.0	150.0	137.0	408.0	80.0	90.0	64.0	20.0	71.0	58.0	12.0	61.0	104.0	42.0	280.0	80.0	59.0	76.0	79.0	126.0	368.0	432.0	126.0	95.0	58.0	67.0	495.0	154.0	345.0	237.0	102.0	85.0	278.0	64.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Gemellaceae; g__Gemella; (s__haemolysans/s__morbillorum/s__sanguinis)
Zotu28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	112.0	10.0	45.0	175.0	191.0	152.0	18.0	12.0	13.0	18.0	19.0	132.0	48.0	31.0	68.0	50.0	207.0	157.0	118.0	239.0	7.0	61.0	6.0	118.0	128.0	28.0	1.0	10.0	184.0	56.0	217.0	285.0	6.0	4.0	85.0	2.0	23.0	108.0	35.0	33.0	56.0	92.0	100.0	175.0	27.0	27.0	10.0	34.0	181.0	1.0	32.0	6.0	101.0	257.0	174.0	36.0	20.0	0.0	194.0	107.0	32.0	12.0	373.0	7.0	0.0	27.0	16.0	143.0	136.0	24.0	251.0	28.0	80.0	84.0	29.0	10.0	38.0	29.0	135.0	92.0	31.0	26.0	17.0	33.0	5.0	9.0	16.0	55.0	1.0	46.0	79.0	6.0	22.0	8.0	46.0	23.0	60.0	19.0	2.0	0.0	3.0	71.0	68.0	9.0	58.0	70.0	21.0	181.0	159.0	122.0	92.0	157.0	0.0	4.0	26.0	1.0	248.0	80.0	116.0	122.0	69.0	53.0	31.0	23.0	76.0	175.0	17.0	83.0	197.0	105.0	209.0	204.0	5.0	18.0	25.0	55.0	56.0	66.0	0.0	36.0	65.0	131.0	53.0	57.0	36.0	117.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
Zotu29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	59.0	200.0	375.0	562.0	444.0	186.0	166.0	83.0	73.0	83.0	336.0	163.0	117.0	192.0	132.0	482.0	426.0	281.0	484.0	31.0	208.0	16.0	410.0	355.0	24.0	1.0	9.0	481.0	183.0	387.0	564.0	13.0	31.0	289.0	9.0	114.0	305.0	76.0	201.0	161.0	250.0	238.0	305.0	163.0	125.0	74.0	177.0	471.0	12.0	68.0	26.0	274.0	462.0	289.0	101.0	92.0	2.0	431.0	303.0	85.0	27.0	1553.0	50.0	2.0	60.0	48.0	374.0	266.0	288.0	594.0	109.0	298.0	316.0	102.0	29.0	101.0	68.0	366.0	183.0	179.0	121.0	59.0	84.0	24.0	31.0	101.0	201.0	6.0	128.0	165.0	24.0	70.0	15.0	161.0	67.0	160.0	29.0	17.0	3.0	4.0	157.0	160.0	36.0	126.0	138.0	80.0	389.0	480.0	301.0	375.0	542.0	0.0	1.0	47.0	2.0	538.0	156.0	224.0	271.0	208.0	161.0	49.0	40.0	251.0	310.0	36.0	262.0	447.0	207.0	441.0	436.0	19.0	34.0	59.0	202.0	241.0	196.0	22.0	538.0	76.0	266.0	122.0	223.0	97.0	373.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
Zotu17	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	1043.0	13.0	27.0	411.0	353.0	278.0	102.0	10.0	4.0	4.0	4.0	1.0	3.0	1.0	0.0	1.0	14.0	0.0	1.0	1.0	1.0	0.0	1248.0	75.0	35.0	0.0	43.0	40.0	239.0	21.0	306.0	0.0	1.0	0.0	0.0	1028.0	306.0	237.0	702.0	2.0	0.0	98.0	31.0	166.0	552.0	48.0	10.0	65.0	196.0	426.0	2056.0	219.0	180.0	358.0	0.0	0.0	0.0	0.0	361.0	29.0	17.0	186.0	325.0	0.0	170.0	15.0	30.0	4.0	0.0	162.0	6.0	8.0	4.0	9.0	15.0	25.0	60.0	0.0	59.0	27.0	87.0	0.0	3.0	1.0	1.0	601.0	100.0	10.0	180.0	4.0	41.0	28.0	0.0	2.0	5.0	2.0	3.0	7.0	3.0	7.0	3.0	385.0	87.0	141.0	0.0	1.0	5.0	0.0	1.0	1.0	0.0	82.0	0.0	6.0	0.0	646.0	123.0	611.0	737.0	158.0	257.0	121.0	91.0	1056.0	14.0	1684.0	31.0	359.0	490.0	256.0	639.0	5.0	9.0	8.0	5.0	9.0	0.0	6.0	1.0	0.0	0.0	4.0	3.0	10.0	11.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
Zotu19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	319.0	103.0	232.0	99.0	124.0	44.0	42.0	307.0	129.0	113.0	40.0	112.0	59.0	61.0	77.0	109.0	346.0	40.0	82.0	114.0	33.0	101.0	52.0	59.0	283.0	0.0	213.0	32.0	53.0	24.0	40.0	106.0	76.0	37.0	70.0	75.0	83.0	134.0	67.0	61.0	47.0	140.0	173.0	144.0	219.0	301.0	33.0	25.0	90.0	48.0	469.0	276.0	90.0	12.0	188.0	145.0	222.0	25.0	46.0	221.0	381.0	76.0	217.0	0.0	112.0	233.0	80.0	55.0	211.0	29.0	96.0	66.0	63.0	123.0	57.0	88.0	112.0	74.0	49.0	185.0	143.0	152.0	173.0	256.0	350.0	84.0	74.0	138.0	136.0	32.0	33.0	55.0	38.0	60.0	152.0	30.0	30.0	74.0	234.0	198.0	53.0	105.0	142.0	203.0	30.0	462.0	321.0	78.0	180.0	192.0	114.0	321.0	170.0	203.0	95.0	67.0	206.0	221.0	43.0	33.0	104.0	115.0	76.0	149.0	63.0	135.0	78.0	36.0	50.0	97.0	85.0	348.0	264.0	70.0	63.0	28.0	49.0	239.0	81.0	330.0	91.0	52.0	11.0	46.0	8.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
Zotu9	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	360.0	591.0	495.0	371.0	268.0	265.0	832.0	455.0	266.0	112.0	149.0	315.0	72.0	49.0	81.0	96.0	118.0	371.0	81.0	183.0	239.0	143.0	102.0	339.0	110.0	442.0	0.0	141.0	189.0	342.0	511.0	230.0	217.0	462.0	318.0	258.0	524.0	295.0	267.0	617.0	127.0	160.0	128.0	149.0	125.0	179.0	305.0	730.0	728.0	921.0	1377.0	1361.0	396.0	350.0	688.0	412.0	208.0	360.0	174.0	469.0	405.0	482.0	373.0	457.0	0.0	506.0	390.0	109.0	122.0	120.0	109.0	110.0	275.0	241.0	182.0	193.0	114.0	174.0	206.0	209.0	265.0	166.0	74.0	160.0	187.0	208.0	241.0	144.0	106.0	134.0	87.0	129.0	186.0	245.0	27.0	171.0	117.0	97.0	106.0	70.0	109.0	152.0	328.0	190.0	305.0	81.0	186.0	657.0	442.0	234.0	378.0	440.0	26.0	76.0	62.0	369.0	728.0	335.0	348.0	509.0	188.0	276.0	108.0	259.0	451.0	442.0	605.0	281.0	469.0	571.0	231.0	773.0	397.0	576.0	255.0	496.0	776.0	479.0	212.0	521.0	407.0	595.0	381.0	178.0	465.0	285.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; (s__australis/s__parasanguinis_I/s__parasanguinis_II/s__sp._oral_taxon_057/s__sp._oral_taxon_066)
Zotu2	0.0	0.0	1.0	0.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1327.0	272.0	2155.0	479.0	1275.0	1167.0	1573.0	3533.0	1932.0	1574.0	2489.0	1964.0	709.0	683.0	956.0	597.0	1135.0	913.0	375.0	539.0	498.0	1722.0	623.0	1331.0	1447.0	115.0	1.0	155.0	926.0	1293.0	260.0	869.0	634.0	287.0	2171.0	165.0	226.0	1021.0	588.0	719.0	300.0	223.0	705.0	314.0	3759.0	1657.0	1531.0	2794.0	954.0	49.0	194.0	124.0	1125.0	506.0	183.0	659.0	645.0	26.0	995.0	502.0	1321.0	351.0	456.0	198.0	2.0	485.0	422.0	1696.0	1046.0	549.0	1356.0	1351.0	1798.0	3597.0	1236.0	2221.0	1814.0	934.0	677.0	421.0	462.0	670.0	471.0	932.0	965.0	853.0	2151.0	1672.0	1020.0	2094.0	2016.0	1129.0	874.0	585.0	849.0	2543.0	1519.0	1204.0	151.0	17.0	221.0	1262.0	1613.0	477.0	1594.0	1156.0	2616.0	962.0	778.0	515.0	410.0	951.0	49.0	690.0	796.0	992.0	847.0	11.0	508.0	185.0	1491.0	900.0	678.0	477.0	1408.0	470.0	145.0	2154.0	646.0	242.0	1033.0	1002.0	127.0	348.0	1969.0	1714.0	1726.0	2493.0	1325.0	1503.0	460.0	753.0	1144.0	2754.0	745.0	2883.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
Zotu3	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1369.0	586.0	2368.0	1212.0	454.0	410.0	291.0	777.0	1358.0	1289.0	1458.0	675.0	237.0	163.0	200.0	180.0	359.0	359.0	22.0	49.0	1770.0	365.0	440.0	1328.0	814.0	1421.0	0.0	1726.0	575.0	1037.0	55.0	1097.0	3147.0	1395.0	2216.0	1670.0	40.0	68.0	1006.0	196.0	1173.0	78.0	296.0	1219.0	1269.0	1244.0	614.0	112.0	79.0	400.0	1967.0	1153.0	329.0	737.0	18.0	1547.0	1138.0	1460.0	493.0	1801.0	1014.0	1219.0	1245.0	1312.0	0.0	1891.0	1504.0	672.0	1207.0	1693.0	513.0	728.0	459.0	664.0	516.0	1306.0	1007.0	1293.0	626.0	236.0	349.0	432.0	1124.0	1969.0	1638.0	2006.0	858.0	105.0	1532.0	505.0	230.0	2112.0	1550.0	1948.0	527.0	1643.0	1167.0	848.0	1971.0	907.0	2314.0	1374.0	320.0	634.0	1064.0	1521.0	212.0	130.0	249.0	540.0	338.0	532.0	2418.0	1529.0	1901.0	3161.0	296.0	770.0	138.0	46.0	844.0	680.0	512.0	1739.0	440.0	109.0	262.0	167.0	141.0	371.0	392.0	356.0	880.0	2160.0	1719.0	875.0	489.0	355.0	1413.0	1106.0	1169.0	1469.0	2491.0	2333.0	3494.0	1164.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
