# Constructed from biom file
#OTU ID	USMB.01.V1	USMB.01.V2	USMB.01.V3	USMB.01.V4	USMB.02.V1	USMB.02.V4	USMB.03.V1	USMB.03.V2	USMB.04.V1	USMB.04.V2	USMB.04.V3	USMB.04.V4	USMB.05.V1	USMB.05.V2	USMB.05.V3	USMB.05.V4	USMB.06.V1	USMB.06.V2	USMB.06.V3	USMB.06.V4	USMB.07.V1	USMB.07.V2	USMB.07.V3	USMB.07.V4	USMB.08.V1	USMB.08.V2	USMB.08.V3	USMB.08.V4	USMB.09.V1	USMB.09.V2	USMB.09.V3	USMB.09.V4	USMB.10.V1	USMB.10.V2	USMB.10.V3	USMB.10.V4	USMB.11.V1	USMB.11.V2	USMB.11.V3	USMB.11.V4	USMB.12.V1	USMB.12.V2	USMB.12.V3	USMB.12.V4	USMB.13.V1	USMB.13.V2	USMB.13.V4	USMB.14.V1	USMB.14.V2	USMB.14.V3	USMB.14.V4	USMB.15.V1	USMB.15.V2	USMB.15.V3	USMB.15.V4	USMB.16.V1	USMB.16.V2	USMB.16.V3	USMB.16.V4	USMB.18.V1	USMB.18.V2	USMB.18.V3	USMB.18.V4	USMB.19.V1	USMB.19.V2	USMB.19.V3	USMB.19.V4	USMB.20.V1	USMB.20.V2	USMB.20.V3	USMB.20.V4	USMB.21.V1	USMB.21.V2	USMB.21.V3	USMB.21.V4	USMB.22.V1	USMB.22.V2	USMB.22.V3	USMB.22.V4	USMB.23.V1	USMB.23.V2	USMB.23.V4	USMB.24.V1	USMB.24.V2	USMB.24.V3	USMB.24.V4	USMB.25.V1	USMB.25.V2	USMB.25.V3	USMB.25.V4	USMB.26.V1	USMB.26.V2	USMB.26.V3	USMB.26.V4	USMB.27.V1	USMB.27.V2	USMB.27.V3	USMB.27.V4	USMB.28.V1	USMB.28.V2	USMB.28.V3	USMB.28.V4b	USMB.29.V1	USMB.29.V2	USMB.29.V4	USMB.30.V1	USMB.30.V2	USMB.30.V4	USMB.31.V1	USMB.31.V2	USMB.31.V3	USMB.31.V4	USMB.32.V1	USMB.32.V2	USMB.32.V3	USMB.32.V4	USMB.33.V1	USMB.33.V2	USMB.33.V3	USMB.33.V4	USMB.34.V1	USMB.34.V2	USMB.34.V3	USMB.34.V4	USMB.35.V1	USMB.35.V2	USMB.35.V3	USMB.35.V4	USMB.36.V1	USMB.36.V2	USMB.36.V3	USMB.36.V4	USMB.37.V1	USMB.37.V2	USMB.38.V1	USMB.38.V2	USMB.38.V3	USMB.38.V4	USMB.39.V1	USMB.39.V2	USMB.39.V3	USMB.39.V4	USMB.40.V1	USMB.40.V2	USMB.40.V3	USMB.40.V4	neg.ctrl.isol.1.ACTA121	neg.ctrl.isol.2.ACTA121	neg.ctrl.isol.3.ACTA121	neg.ctrl.isol.4.ACTA121	neg.ctrl.pcr.1.ACTA121	neg.ctrl.pcr.2.ACTA121	neg.ctrl.pcr.3.ACTA121	neg.ctrl.pcr.4.ACTA121
923f521b9cf313f1f95c9367e09bbc1c	1556.0	1148.0	1497.0	1065.0	1340.0	518.0	1493.0	1380.0	1314.0	682.0	1391.0	1219.0	739.0	636.0	673.0	664.0	1391.0	942.0	766.0	1095.0	738.0	822.0	841.0	751.0	603.0	274.0	496.0	235.0	2424.0	1917.0	1803.0	875.0	1499.0	886.0	722.0	1099.0	1951.0	1436.0	1204.0	1753.0	912.0	1543.0	848.0	1256.0	830.0	1207.0	1235.0	1610.0	1166.0	1023.0	2349.0	2459.0	2442.0	2347.0	1402.0	567.0	298.0	601.0	372.0	1714.0	1551.0	1571.0	1080.0	1881.0	28.0	1992.0	2106.0	746.0	1252.0	1467.0	1064.0	373.0	713.0	1026.0	615.0	1847.0	1582.0	1139.0	1350.0	1908.0	1878.0	1210.0	568.0	1084.0	521.0	832.0	782.0	1539.0	942.0	1043.0	682.0	757.0	869.0	762.0	429.0	806.0	524.0	198.0	1700.0	926.0	844.0	574.0	1086.0	1200.0	609.0	1322.0	885.0	1884.0	951.0	421.0	559.0	818.0	152.0	98.0	410.0	756.0	11.0	2225.0	2642.0	2179.0	1996.0	1786.0	1273.0	1929.0	1306.0	1547.0	1267.0	16.0	1588.0	1276.0	1575.0	871.0	1337.0	855.0	718.0	1457.0	1530.0	1131.0	250.0	1474.0	777.0	1570.0	1746.0	1535.0	1435.0	1529.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
06f825b512d903b9230e1a55d87359ee	927.0	1462.0	785.0	1438.0	1901.0	1804.0	544.0	1878.0	479.0	1691.0	1130.0	1006.0	2225.0	1307.0	815.0	1163.0	1124.0	1774.0	1863.0	702.0	1900.0	426.0	630.0	489.0	2840.0	2754.0	1537.0	4036.0	269.0	447.0	550.0	877.0	587.0	402.0	239.0	452.0	593.0	692.0	952.0	725.0	1320.0	549.0	2608.0	591.0	2343.0	807.0	737.0	176.0	636.0	442.0	164.0	1651.0	613.0	682.0	396.0	1091.0	658.0	869.0	247.0	881.0	722.0	1029.0	929.0	570.0	16.0	352.0	391.0	970.0	1236.0	636.0	1300.0	1261.0	1918.0	748.0	1422.0	350.0	686.0	504.0	809.0	1081.0	1240.0	1793.0	1875.0	1067.0	1330.0	1307.0	1030.0	855.0	989.0	1264.0	594.0	880.0	938.0	1422.0	739.0	796.0	950.0	1427.0	698.0	967.0	514.0	407.0	922.0	1465.0	2035.0	450.0	2128.0	1792.0	1956.0	2570.0	1985.0	2525.0	4014.0	1413.0	845.0	999.0	0.0	719.0	318.0	349.0	339.0	341.0	454.0	568.0	746.0	435.0	364.0	0.0	324.0	486.0	690.0	1789.0	1107.0	1892.0	1096.0	776.0	883.0	1391.0	2210.0	732.0	1575.0	732.0	191.0	198.0	391.0	248.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
32f8fd11d2bee278d609a1d4ab767554	1265.0	335.0	1577.0	596.0	629.0	332.0	1780.0	1215.0	1964.0	1112.0	2003.0	1934.0	689.0	661.0	843.0	761.0	892.0	735.0	946.0	1649.0	668.0	1333.0	2141.0	1573.0	780.0	170.0	613.0	400.0	1378.0	888.0	338.0	1394.0	703.0	431.0	731.0	725.0	335.0	922.0	1888.0	1182.0	402.0	197.0	740.0	1584.0	303.0	1499.0	1839.0	679.0	597.0	260.0	416.0	46.0	509.0	767.0	199.0	1265.0	1187.0	918.0	550.0	276.0	390.0	320.0	279.0	403.0	6.0	1364.0	920.0	1241.0	1500.0	1448.0	815.0	690.0	735.0	2405.0	549.0	1996.0	1252.0	1087.0	531.0	356.0	378.0	615.0	594.0	1054.0	1092.0	1419.0	1315.0	1610.0	1187.0	1214.0	2128.0	2299.0	2063.0	2086.0	641.0	1374.0	1046.0	961.0	697.0	452.0	638.0	435.0	752.0	518.0	700.0	929.0	1742.0	408.0	683.0	830.0	252.0	449.0	449.0	2348.0	1933.0	3059.0	3.0	68.0	292.0	138.0	516.0	650.0	545.0	465.0	307.0	649.0	140.0	5.0	619.0	467.0	778.0	172.0	1485.0	394.0	972.0	846.0	715.0	1588.0	798.0	1098.0	625.0	438.0	1160.0	1789.0	1118.0	742.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0
fd496fd32dc8c08ade2e8b6c9d8ee13d	697.0	1249.0	849.0	1116.0	494.0	250.0	1597.0	825.0	950.0	681.0	1119.0	1138.0	241.0	93.0	496.0	374.0	277.0	622.0	332.0	597.0	203.0	698.0	1462.0	1296.0	10.0	85.0	226.0	15.0	1090.0	2420.0	2612.0	170.0	775.0	543.0	416.0	1188.0	785.0	1029.0	488.0	888.0	69.0	529.0	106.0	1009.0	363.0	492.0	1074.0	459.0	324.0	444.0	499.0	920.0	93.0	501.0	357.0	638.0	642.0	823.0	1034.0	511.0	700.0	350.0	430.0	1258.0	11.0	907.0	1514.0	291.0	388.0	353.0	568.0	388.0	622.0	320.0	215.0	757.0	408.0	275.0	1151.0	909.0	481.0	213.0	236.0	488.0	213.0	834.0	1192.0	964.0	626.0	683.0	820.0	414.0	1116.0	800.0	20.0	303.0	224.0	97.0	1692.0	740.0	645.0	2333.0	747.0	1008.0	348.0	706.0	149.0	532.0	741.0	213.0	741.0	150.0	95.0	685.0	775.0	2006.0	10.0	1001.0	806.0	3297.0	1429.0	1265.0	1410.0	416.0	824.0	1243.0	1228.0	0.0	1894.0	1562.0	849.0	562.0	785.0	1472.0	1005.0	1110.0	2769.0	1102.0	102.0	1096.0	1017.0	2048.0	163.0	867.0	116.0	295.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
394eda29c886632f514dd94b58381186	1446.0	318.0	786.0	1008.0	766.0	757.0	292.0	591.0	269.0	972.0	725.0	489.0	155.0	253.0	409.0	410.0	402.0	250.0	494.0	391.0	299.0	292.0	1133.0	403.0	1241.0	1334.0	2107.0	1505.0	288.0	665.0	251.0	2301.0	626.0	522.0	659.0	914.0	30.0	48.0	461.0	133.0	976.0	332.0	861.0	314.0	1015.0	182.0	185.0	71.0	113.0	53.0	278.0	359.0	79.0	716.0	58.0	815.0	351.0	511.0	189.0	680.0	461.0	432.0	1312.0	472.0	5.0	1032.0	164.0	848.0	723.0	493.0	594.0	1090.0	907.0	1386.0	606.0	712.0	674.0	533.0	290.0	267.0	127.0	236.0	857.0	1327.0	1214.0	946.0	768.0	385.0	552.0	541.0	318.0	899.0	827.0	988.0	621.0	882.0	731.0	918.0	387.0	552.0	383.0	442.0	287.0	627.0	803.0	971.0	249.0	88.0	471.0	686.0	309.0	414.0	2496.0	1398.0	945.0	1779.0	6.0	509.0	227.0	259.0	301.0	310.0	444.0	714.0	216.0	149.0	172.0	0.0	187.0	525.0	701.0	370.0	487.0	1227.0	904.0	233.0	213.0	603.0	778.0	692.0	966.0	858.0	1235.0	1065.0	1258.0	374.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
b7b4ecb07e1719860260746a5443092a	1246.0	459.0	1013.0	644.0	85.0	85.0	17.0	234.0	1.0	76.0	408.0	479.0	177.0	67.0	223.0	92.0	416.0	462.0	288.0	151.0	218.0	299.0	841.0	934.0	297.0	207.0	482.0	26.0	614.0	790.0	1328.0	104.0	774.0	308.0	333.0	268.0	344.0	550.0	170.0	261.0	124.0	508.0	337.0	163.0	573.0	108.0	273.0	814.0	521.0	867.0	1825.0	725.0	1016.0	2504.0	2760.0	583.0	376.0	533.0	629.0	886.0	268.0	276.0	784.0	549.0	5.0	417.0	739.0	293.0	284.0	323.0	450.0	43.0	97.0	110.0	24.0	134.0	468.0	488.0	938.0	52.0	41.0	58.0	124.0	213.0	185.0	448.0	360.0	198.0	106.0	396.0	274.0	377.0	386.0	142.0	303.0	448.0	344.0	60.0	1261.0	206.0	319.0	613.0	100.0	31.0	7.0	125.0	86.0	1117.0	502.0	294.0	502.0	343.0	30.0	76.0	331.0	17.0	6.0	2275.0	1281.0	1222.0	885.0	899.0	428.0	292.0	195.0	293.0	322.0	0.0	1879.0	1288.0	1514.0	1856.0	685.0	428.0	143.0	189.0	326.0	116.0	0.0	4.0	38.0	176.0	801.0	785.0	928.0	1311.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
edc9e5c16e40aff1eadce6597940f08f	781.0	1227.0	895.0	794.0	411.0	253.0	1095.0	515.0	656.0	362.0	515.0	486.0	262.0	168.0	277.0	462.0	408.0	794.0	723.0	493.0	503.0	230.0	789.0	461.0	414.0	390.0	136.0	425.0	285.0	392.0	418.0	460.0	313.0	339.0	247.0	542.0	437.0	331.0	1027.0	695.0	332.0	825.0	354.0	432.0	246.0	286.0	476.0	715.0	864.0	310.0	647.0	1520.0	374.0	704.0	572.0	494.0	452.0	380.0	128.0	759.0	531.0	637.0	773.0	711.0	0.0	684.0	659.0	401.0	357.0	193.0	421.0	318.0	348.0	607.0	420.0	331.0	399.0	303.0	438.0	497.0	500.0	702.0	259.0	349.0	375.0	323.0	415.0	264.0	231.0	366.0	212.0	328.0	321.0	383.0	102.0	247.0	261.0	412.0	616.0	316.0	266.0	394.0	391.0	530.0	455.0	296.0	339.0	794.0	397.0	194.0	262.0	200.0	0.0	317.0	184.0	752.0	0.0	544.0	682.0	771.0	263.0	361.0	288.0	243.0	300.0	378.0	250.0	0.0	397.0	416.0	286.0	484.0	383.0	777.0	360.0	488.0	786.0	635.0	245.0	915.0	704.0	780.0	547.0	458.0	692.0	497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4f5efd25dacb5d639316e7291ff6ff8b	238.0	53.0	39.0	405.0	107.0	307.0	16.0	76.0	395.0	298.0	134.0	108.0	615.0	1867.0	1972.0	1606.0	204.0	195.0	115.0	632.0	160.0	297.0	1718.0	85.0	386.0	1001.0	542.0	461.0	93.0	89.0	10.0	400.0	218.0	82.0	172.0	71.0	117.0	0.0	0.0	120.0	961.0	235.0	1008.0	39.0	550.0	20.0	37.0	0.0	4.0	0.0	0.0	0.0	163.0	64.0	42.0	1346.0	836.0	397.0	270.0	15.0	604.0	659.0	895.0	49.0	5.0	254.0	138.0	164.0	138.0	104.0	967.0	2718.0	366.0	1734.0	1204.0	569.0	670.0	621.0	520.0	503.0	179.0	1182.0	781.0	130.0	257.0	373.0	442.0	280.0	933.0	755.0	1233.0	715.0	425.0	619.0	1079.0	1349.0	2195.0	2938.0	78.0	721.0	241.0	169.0	482.0	714.0	484.0	20.0	91.0	530.0	141.0	897.0	41.0	166.0	1131.0	1915.0	1067.0	254.0	0.0	717.0	796.0	91.0	166.0	210.0	1537.0	186.0	231.0	136.0	118.0	4.0	70.0	23.0	37.0	47.0	65.0	77.0	577.0	141.0	25.0	716.0	450.0	235.0	188.0	176.0	2.0	6.0	37.0	29.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
df8456a1abbfb4c8a2c450b44378d4cb	162.0	137.0	241.0	155.0	322.0	226.0	219.0	191.0	712.0	303.0	408.0	258.0	295.0	263.0	190.0	341.0	488.0	748.0	581.0	254.0	429.0	210.0	156.0	136.0	414.0	546.0	1008.0	412.0	463.0	545.0	419.0	359.0	1145.0	604.0	200.0	411.0	265.0	424.0	269.0	232.0	268.0	513.0	469.0	274.0	372.0	194.0	380.0	328.0	546.0	431.0	857.0	614.0	986.0	795.0	688.0	348.0	316.0	599.0	342.0	583.0	493.0	442.0	406.0	411.0	0.0	625.0	510.0	133.0	154.0	122.0	193.0	467.0	223.0	287.0	178.0	182.0	167.0	202.0	250.0	303.0	281.0	564.0	404.0	747.0	455.0	360.0	414.0	332.0	297.0	418.0	251.0	225.0	326.0	182.0	271.0	292.0	344.0	235.0	446.0	299.0	473.0	366.0	355.0	404.0	381.0	713.0	821.0	920.0	466.0	316.0	549.0	459.0	275.0	346.0	815.0	569.0	3.0	340.0	394.0	139.0	279.0	369.0	266.0	420.0	370.0	368.0	422.0	0.0	175.0	242.0	169.0	322.0	710.0	524.0	461.0	315.0	97.0	162.0	160.0	642.0	618.0	473.0	417.0	544.0	623.0	1262.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
e606e6a9dbcbaefd0fe8f53571bbcab0	8.0	28.0	0.0	0.0	45.0	22.0	95.0	139.0	96.0	121.0	94.0	34.0	3.0	5.0	2.0	7.0	428.0	223.0	329.0	76.0	284.0	139.0	205.0	187.0	192.0	31.0	83.0	9.0	0.0	0.0	0.0	28.0	164.0	89.0	54.0	61.0	464.0	55.0	87.0	478.0	972.0	594.0	213.0	334.0	174.0	241.0	229.0	243.0	163.0	0.0	7.0	13.0	340.0	220.0	369.0	0.0	0.0	0.0	2.0	426.0	1034.0	667.0	1024.0	115.0	0.0	155.0	96.0	226.0	157.0	371.0	305.0	47.0	95.0	113.0	58.0	204.0	223.0	307.0	480.0	1425.0	1819.0	1000.0	108.0	173.0	170.0	130.0	171.0	95.0	310.0	173.0	32.0	52.0	11.0	24.0	209.0	199.0	79.0	167.0	353.0	194.0	134.0	184.0	338.0	325.0	347.0	776.0	583.0	1087.0	77.0	41.0	53.0	34.0	0.0	0.0	0.0	0.0	2.0	385.0	598.0	465.0	493.0	537.0	416.0	472.0	1213.0	915.0	969.0	0.0	288.0	192.0	282.0	28.0	192.0	211.0	0.0	0.0	20.0	5.0	97.0	400.0	0.0	1002.0	439.0	322.0	421.0	837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
